69,1,93,1,63,1,79,1
101,1,106,1,56,1,108,0
243,0,11,1,242,0,249,0
12,1,44,1,242,0,111,0
198,0,213,0,189,0,197,0
213,0,19,1,192,0,112,0
167,0,179,0,159,0,159,0
179,0,8,1,165,0,115,0
149,0,159,0,142,0,147,0
163,0,255,0,147,0,112,0
143,0,155,0,137,0,141,0
153,0,253,0,139,0,117,0
139,0,152,0,135,0,141,0
152,0,253,0,136,0,117,0
138,0,149,0,133,0,140,0
153,0,252,0,135,0,117,0
137,0,142,0,133,0,139,0
152,0,252,0,135,0,117,0
136,0,143,0,128,0,138,0
150,0,251,0,134,0,118,0
135,0,146,0,133,0,140,0
151,0,251,0,134,0,116,0
133,0,148,0,133,0,137,0
149,0,250,0,133,0,115,0
134,0,148,0,127,0,137,0
149,0,251,0,133,0,116,0
131,0,147,0,127,0,136,0
151,0,250,0,133,0,115,0
134,0,148,0,126,0,137,0
150,0,250,0,133,0,113,0
126,0,148,0,125,0,137,0
148,0,249,0,133,0,115,0
87,1,106,1,88,1,103,1
125,1,110,1,80,1,117,0
4,1,39,1,13,1,23,1
46,1,60,1,11,1,121,0
184,0,231,0,213,0,213,0
235,0,26,1,212,0,119,0
201,0,197,0,172,0,173,0
192,0,11,1,175,0,119,0
148,0,174,0,151,0,151,0
171,0,6,1,155,0,117,0
142,0,160,0,139,0,143,0
158,0,253,0,147,0,117,0
139,0,154,0,128,0,139,0
152,0,253,0,138,0,116,0
137,0,151,0,127,0,137,0
152,0,251,0,136,0,117,0
138,0,149,0,123,0,137,0
147,0,250,0,133,0,117,0
135,0,145,0,125,0,137,0
154,0,251,0,133,0,118,0
139,0,150,0,134,0,143,0
152,0,253,0,127,0,111,0
125,0,141,0,126,0,137,0
149,0,250,0,127,0,112,0
122,0,141,0,122,0,133,0
146,0,247,0,125,0,111,0
123,0,139,0,122,0,134,0
148,0,249,0,132,0,112,0
125,0,141,0,124,0,133,0
148,0,248,0,133,0,117,0
126,0,147,0,127,0,136,0
147,0,251,0,135,0,116,0
83,1,109,1,91,1,109,1
126,1,112,1,77,1,121,0
237,0,24,1,11,1,11,1
28,1,56,1,9,1,135,0
203,0,226,0,201,0,190,0
